Date,Stock Price,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Share Holder Equity,Total Liabilities And Share Holders Equity,TTM Net EPS,PE Ratio,TTM Sales per Share,Price to Sales Ratio,Book Value per Share,Price to Book Ratio,TTM FCF per Share,Price to FCF Ratio
2024-09-30,232.74,14968.00,6547.00,8421.00,1876.00,4911.00,6787.00,1634.00,-2435.00,-802.00,-485.00,-317.00,-317.00,-13.00,-330.00,2902.00,1634.00,923.60,923.60,-0.36,-0.36,13719.00,6318.00,1367.00,2408.00,30543.00,5614.00,2009.00,72182.00,103797.00,134339.00,28853.00,52980.00,11186.00,80955.00,109809.00,61013.00,149789.00,-16418.00,24530.00,134339.00,6.08,38.28,25.29,9.20,3.77,61.78,7.06,32.96
2024-06-30,210.15,15770.00,6819.00,8951.00,1840.00,4938.00,6778.00,2173.00,47.00,2219.00,389.00,1830.00,1830.00,4.00,1834.00,3328.00,2173.00,920.30,934.40,1.99,1.96,15959.00,6526.00,1234.00,2784.00,33299.00,5600.00,1840.00,69667.00,100548.00,133848.00,29648.00,52929.00,10932.00,80096.00,109745.00,60501.00,151659.00,-18319.00,24103.00,133848.00,6.57,31.99,24.79,8.48,4.38,47.95,6.98,30.11
2024-03-31,170.86,14462.00,6719.00,7743.00,1796.00,4974.00,6770.00,973.00,101.00,1074.00,-502.00,1576.00,1575.00,30.00,1605.00,2104.00,973.00,917.20,933.40,1.75,1.72,19277.00,6801.00,1212.00,2804.00,36663.00,5594.00,1678.00,70284.00,100507.00,137169.00,32397.00,54033.00,10914.00,81439.00,113836.00,60145.00,151362.00,-18488.00,23333.00,137169.00,6.43,26.57,24.39,7.01,4.84,35.32,6.54,26.14
2023-12-31,191.59,17381.00,7114.00,10267.00,1748.00,4792.00,6540.00,3727.00,30.00,3759.00,474.00,3285.00,3285.00,3.00,3288.00,4879.00,3727.00,911.21,922.07,3.63,3.54,13462.00,7854.00,1161.00,2639.00,32908.00,5501.00,1626.00,71214.00,102331.00,135241.00,34122.00,50121.00,11475.00,78505.00,112628.00,59643.00,151276.00,-18761.00,22613.00,135241.00,6.42,29.84,24.51,7.82,4.79,39.97,6.81,28.13
2023-09-30,170.16,14752.00,6730.00,8022.00,1685.00,4458.00,6143.00,1879.00,-7.00,1873.00,159.00,1714.00,1714.00,-10.00,1704.00,2972.00,1879.00,912.80,923.70,1.84,1.87,10997.00,6172.00,1399.00,2582.00,27705.00,5369.00,1582.00,70874.00,101617.00,129321.00,30606.00,48828.00,12081.00,75560.00,106165.00,59313.00,149506.00,-16098.00,23156.00,129321.00,6.12,27.80,24.17,7.04,4.00,42.58,6.30,27.02
2023-06-30,192.52,15475.00,6974.00,8501.00,1687.00,4900.00,6587.00,1914.00,86.00,2000.00,419.00,1581.00,1581.00,2.00,1583.00,2991.00,1914.00,909.90,919.50,1.74,1.72,16329.00,6511.00,1501.00,2730.00,34458.00,5443.00,1585.00,66881.00,97755.00,132213.00,32513.00,50691.00,12103.00,77429.00,109942.00,58963.00,149318.00,-16499.00,22271.00,132213.00,5.95,32.36,24.03,8.01,3.85,49.98,6.59,29.23
2023-03-31,163.44,14252.00,6742.00,7510.00,1655.00,4853.00,6508.00,1002.00,58.00,1058.00,124.00,934.00,934.00,-7.00,927.00,2076.00,1002.00,907.50,917.80,1.02,1.01,17592.00,6569.00,1603.00,2501.00,35982.00,5344.00,1607.00,67098.00,97655.00,133637.00,30993.00,53826.00,12099.00,80971.00,111964.00,58675.00,149253.00,-16780.00,21672.00,133637.00,5.89,27.75,23.95,6.82,3.95,41.34,6.10,26.81
2022-12-31,128.58,16691.00,7058.00,9633.00,1604.00,4766.00,6370.00,3263.00,49.00,3312.00,443.00,2869.00,2870.00,-159.00,2710.00,4400.00,3263.00,902.66,912.27,3.00,3.00,8841.00,7358.00,1552.00,2611.00,29118.00,5334.00,1617.00,67133.00,98126.00,127243.00,31505.00,46189.00,12243.00,73717.00,105222.00,58343.00,149825.00,-16740.00,22021.00,127243.00,5.89,21.83,23.90,5.38,3.58,35.91,6.05,21.26
2022-09-30,136.54,14107.00,6677.00,7430.00,1611.00,4391.00,6002.00,1428.00,-5929.00,-4501.00,-1287.00,-3214.00,-3214.00,18.00,-3196.00,2591.00,1428.00,904.10,904.10,-3.54,-3.54,9728.00,6428.00,1794.00,3452.00,28999.00,5150.00,1614.00,65185.00,96851.00,125850.00,30466.00,44942.00,13413.00,75236.00,105703.00,58117.00,148611.00,-17138.00,20147.00,125850.00,6.11,22.35,24.06,5.68,3.18,42.96,6.83,20.00
2022-06-30,134.89,15535.00,7245.00,8290.00,1673.00,4855.00,6528.00,1762.00,-40.00,1722.00,257.00,1465.00,1465.00,-73.00,1392.00,3008.00,1762.00,901.50,910.70,1.54,1.53,7778.00,6776.00,1684.00,3414.00,27896.00,5275.00,1689.00,66610.00,99606.00,127503.00,31844.00,44328.00,13486.00,76183.00,108026.00,57802.00,153298.00,-22169.00,19476.00,127503.00,6.06,22.26,23.48,5.75,3.61,37.36,6.56,20.58
2022-03-31,172.02,14197.00,6862.00,7335.00,1679.00,4597.00,6276.00,1059.00,-436.00,623.00,-39.00,662.00,662.00,71.00,733.00,2315.00,1059.00,899.30,909.20,0.82,0.81,10770.00,6966.00,1776.00,3548.00,31330.00,5559.00,1771.00,68418.00,101944.00,133275.00,34056.00,46545.00,13844.00,80107.00,114162.00,57603.00,153401.00,-22532.00,19112.00,133275.00,6.16,27.93,23.23,7.41,4.16,41.37,6.40,26.87
2021-12-31,174.71,16694.00,7195.00,9499.00,1625.00,4902.00,6527.00,2972.00,-105.00,2868.00,407.00,2461.00,2462.00,-130.00,2333.00,4353.00,2972.00,895.99,904.64,2.61,2.56,7557.00,7756.00,1649.00,3466.00,29539.00,5694.00,1823.00,68154.00,102462.00,132001.00,33619.00,44917.00,13996.00,79387.00,113005.00,57319.00,154209.00,-23234.00,18996.00,132001.00,6.04,28.93,22.59,7.73,4.40,39.69,6.12,28.53
2021-09-30,139.02,13251.00,6145.00,7106.00,1606.00,4306.00,5912.00,1194.00,-381.00,813.00,-224.00,1037.00,1037.00,93.00,1130.00,2878.00,1194.00,906.00,897.10,1.25,1.26,8407.00,7508.00,1891.00,2954.00,29967.00,9138.00,1996.00,74403.00,114248.00,144214.00,35832.00,46926.00,15179.00,86026.00,121858.00,57189.00,161747.00,-27302.00,22357.00,144214.00,5.62,24.74,21.60,6.44,3.84,36.20,5.51,25.22
2021-06-30,134.36,14218.00,6365.00,7853.00,1641.00,4849.00,6490.00,1363.00,-450.00,912.00,101.00,811.00,810.00,515.00,1325.00,3043.00,1363.00,895.00,904.20,1.48,1.47,8165.00,7629.00,1807.00,2768.00,30774.00,9423.00,2010.00,75184.00,116040.00,146814.00,36616.00,48735.00,14741.00,88132.00,124747.00,56912.00,162086.00,-27652.00,22067.00,146814.00,5.11,26.29,20.35,6.60,3.88,34.61,5.58,24.08
2021-03-31,119.63,13187.00,6160.00,7027.00,1616.00,4688.00,6304.00,723.00,-480.00,244.00,-160.00,404.00,403.00,552.00,955.00,2395.00,723.00,893.60,901.70,1.07,1.06,11273.00,7245.00,1828.00,2647.00,34038.00,9452.00,2125.00,73519.00,114590.00,148629.00,36542.00,51206.00,14489.00,90573.00,127116.00,56788.00,162218.00,-28257.00,21513.00,148629.00,4.46,26.85,18.92,6.32,4.15,28.86,5.29,22.62
2020-12-31,129.76,1925.00,-3888.00,5813.00,1540.00,4711.00,6251.00,-438.00,-337.00,-777.00,-471.00,-306.00,-304.00,1661.00,1356.00,1261.00,-438.00,890.35,896.56,1.53,1.51,14251.00,6485.00,1812.00,2089.00,39165.00,6205.00,2187.00,67504.00,116806.00,155971.00,39869.00,54217.00,14180.00,95376.00,135244.00,56556.00,162717.00,-29337.00,20727.00,155971.00,3.69,35.14,16.94,7.66,3.94,32.96,4.65,27.89
2020-09-30,113.05,17560.00,9130.00,8430.00,1515.00,4647.00,6162.00,2268.00,-442.00,1827.00,128.00,1699.00,1698.00,-1.00,1698.00,3951.00,2268.00,891.40,897.30,1.90,1.89,15753.00,7022.00,1949.00,2188.00,39845.00,9958.00,1944.00,72317.00,114283.00,154128.00,37993.00,55129.00,15484.00,94800.00,132794.00,56366.00,162806.00,-28584.00,21334.00,154128.00,3.26,34.68,15.58,7.26,3.85,29.37,4.19,27.01
2020-06-30,88.87,18123.00,9424.00,8699.00,1582.00,5248.00,6830.00,1869.00,-299.00,1571.00,209.00,1362.00,1362.00,-1.00,1361.00,3548.00,1869.00,889.40,894.90,1.53,1.52,14251.00,7480.00,1869.00,2260.00,39953.00,9709.00,1921.00,72103.00,114246.00,154200.00,38442.00,55449.00,15666.00,95069.00,133512.00,56135.00,162559.00,-28757.00,20688.00,154200.00,3.29,27.03,15.33,5.80,4.22,21.07,4.03,22.04
2020-03-31,61.78,17571.00,9648.00,7923.00,1625.00,5955.00,7580.00,343.00,-392.00,-49.00,-1226.00,1177.00,1176.00,-1.00,1175.00,1977.00,343.00,888.00,895.00,1.32,1.31,12017.00,8543.00,1786.00,2509.00,38931.00,9626.00,1911.00,72183.00,114473.00,153403.00,40673.00,52685.00,15874.00,92601.00,133275.00,56092.00,162626.00,-29283.00,20128.00,153403.00,3.19,19.38,14.83,4.17,4.53,13.63,3.72,16.60
2019-12-31,71.17,2343.00,-3801.00,6144.00,1517.00,3553.00,5070.00,1074.00,-43.00,1033.00,-347.00,1380.00,1381.00,2289.00,3670.00,2724.00,1074.00,887.24,892.81,4.13,4.10,9009.00,9603.00,1619.00,2101.00,38420.00,10010.00,2074.00,73457.00,113768.00,152186.00,37701.00,54102.00,14526.00,93500.00,131202.00,55895.00,162954.00,-28597.00,20985.00,152186.00,3.17,22.49,14.61,4.87,5.10,13.94,3.54,20.11
2019-09-30,54.12,18028.00,9692.00,8336.00,1553.00,5024.00,6577.00,1759.00,-235.00,1522.00,-151.00,1673.00,1673.00,-1.00,1672.00,3428.00,1759.00,886.00,892.80,1.89,1.87,10958.00,8629.00,1712.00,2515.00,38121.00,10063.00,2221.00,73564.00,111498.00,149620.00,35066.00,57797.00,15564.00,96458.00,131524.00,55808.00,160709.00,-29086.00,18096.00,149620.00,2.96,18.27,13.87,3.90,5.09,10.63,3.17,17.09
2019-06-30,47.65,19161.00,10150.00,9011.00,1407.00,5456.00,6863.00,2148.00,621.00,2768.00,269.00,2499.00,2499.00,-1.00,2498.00,3442.00,2148.00,886.30,890.80,2.82,2.81,46408.00,9195.00,1745.00,2409.00,77517.00,10202.00,2228.00,38012.00,77136.00,154652.00,42351.00,58445.00,12190.00,94526.00,136876.00,55404.00,160467.00,-28841.00,17776.00,154652.00,2.93,16.25,13.57,3.51,5.32,8.95,3.06,15.58
2019-03-31,45.55,18182.00,10139.00,8043.00,1433.00,4691.00,6124.00,1919.00,-36.00,1883.00,289.00,1594.00,1593.00,-2.00,1591.00,3365.00,1919.00,889.60,893.90,1.79,1.78,18143.00,7658.00,1771.00,2478.00,52705.00,10675.00,2403.00,39237.00,78223.00,130926.00,38871.00,39727.00,12184.00,75449.00,114319.00,55287.00,159396.00,-29182.00,16607.00,130926.00,2.97,15.32,13.35,3.41,5.74,7.93,3.12,14.61
2018-12-31,37.66,21760.00,11072.00,10688.00,1358.00,4701.00,6059.00,4629.00,-194.00,4434.00,2482.00,1952.00,1954.00,-2.00,1951.00,5741.00,4629.00,912.05,916.32,2.17,2.16,12222.00,8175.00,1682.00,2378.00,49146.00,10792.00,2386.00,39352.00,74236.00,123382.00,38227.00,35605.00,12174.00,68226.00,106452.00,55151.00,159206.00,-29490.00,16929.00,123382.00,3.04,12.39,13.28,2.84,6.23,6.04,3.19,11.80
2018-09-30,53.71,18756.00,9952.00,8804.00,1252.00,4363.00,5615.00,3189.00,-191.00,2996.00,304.00,2692.00,2692.00,2.00,2694.00,4327.00,3189.00,911.20,915.20,2.95,2.94,14663.00,7838.00,1893.00,2388.00,48257.00,10949.00,2272.00,39660.00,73732.00,121990.00,36822.00,35989.00,9979.00,65249.00,102071.00,54987.00,158612.00,-27820.00,19918.00,121990.00,2.97,18.10,13.14,4.09,5.63,9.53,3.21,16.75
2018-06-30,43.89,20003.00,10804.00,9199.00,1364.00,4857.00,6221.00,2978.00,-203.00,2776.00,373.00,2403.00,2402.00,1.00,2404.00,4094.00,2978.00,915.10,919.40,2.63,2.61,11926.00,8534.00,1742.00,2443.00,46795.00,11024.00,2518.00,39826.00,74828.00,121622.00,35442.00,37851.00,10000.00,67532.00,102974.00,54827.00,157349.00,-28290.00,18648.00,121622.00,2.76,15.92,12.50,3.51,5.93,7.40,2.98,14.75
2018-03-31,39.63,19072.00,10826.00,8246.00,1405.00,5445.00,6850.00,1396.00,-261.00,1136.00,-540.00,1676.00,1675.00,4.00,1679.00,2510.00,1396.00,920.70,925.40,1.82,1.81,13155.00,8984.00,1753.00,2573.00,49122.00,11278.00,2942.00,40253.00,76162.00,125285.00,35733.00,40410.00,10250.00,71262.00,106995.00,54712.00,156371.00,-28583.00,18290.00,125285.00,2.59,15.30,11.97,3.31,6.42,6.18,2.67,14.85
2017-12-31,39.81,22542.00,11494.00,11048.00,1379.00,5014.00,6393.00,4655.00,-191.00,4468.00,5521.00,-1053.00,-1053.00,-1.00,-1054.00,5804.00,4655.00,932.83,937.39,-1.11,-1.11,12842.00,9909.00,1583.00,1860.00,49735.00,11116.00,2783.00,40530.00,75620.00,125356.00,37363.00,39837.00,9965.00,70268.00,107631.00,54566.00,153126.00,-26592.00,17725.00,125356.00,2.43,16.37,11.46,3.47,6.90,5.77,2.58,15.44
2017-09-30,36.13,19153.00,10171.00,8982.00,1291.00,4606.00,5897.00,3085.00,-19.00,3065.00,339.00,2726.00,2726.00,0.00,2726.00,4261.00,3085.00,929.44,933.23,2.93,2.92,11515.00,9076.00,1711.00,4389.00,44742.00,11057.00,4806.00,40763.00,76895.00,121636.00,31697.00,41327.00,7723.00,70183.00,101879.00,54395.00,155565.00,-27521.00,19757.00,121636.00,2.30,15.71,10.86,3.33,6.54,5.53,2.46,14.66
